,artist,attack,cardId,cardSet,collectible,cost,dbfId,durability,faction,flavor,health,howToGet,howToGetGold,img,imgGold,locale,mechanics,name,playerClass,race,rarity,text,type,elite,classes,multiClassGroup,armor
0,,,GAME_004,Basic,,,1740,,,,,,,,,enUS,,AFK,Neutral,,,Your turns are shorter.,Enchantment,,,,
1,,,CS2_041e,Basic,,,1853,,,,,,,,,enUS,[{'name': 'Taunt'}],Ancestral Infusion,Shaman,,,Taunt.,Enchantment,,,,
2,,,HERO_09,Basic,True,,813,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_09.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_09_premium.gif,enUS,,Anduin Wrynn,Priest,,Free,,Hero,,,,
3,,,EX1_399e,Basic,,,1621,,,,,,,,,enUS,,Berserking,Neutral,,,This minion has increased Attack.,Enchantment,,,,
4,,,CS2_092e,Basic,,,803,,,,,,,,,enUS,,Blessing of Kings,Paladin,,,+4/+4.,Enchantment,,,,
5,,,CS2_087e,Basic,,,603,,Neutral,,,,,,,enUS,,Blessing of Might,Paladin,,,+3 Attack.,Enchantment,,,,
6,,,CS2_046e,Basic,,,1096,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Bloodlust,Shaman,,,+3 Attack this turn.,Enchantment,,,,
7,,,EX1_084e,Basic,,,706,,,,,,,,,enUS,,Charge,Warrior,,,Warsong Commander is granting this minion +1 Attack.,Enchantment,,,,
8,,,DS1_178e,Basic,,,1712,,,,,,,,,enUS,,Charge,Hunter,,,{0} grants <b>Charge</b>.,Enchantment,,,,
9,,,CS2_103e2,Basic,,,1713,,,,,,,,,enUS,,Charge,Warrior,,,Has <b>Charge</b>.,Enchantment,,,,
10,,,CS2_005o,Basic,,,65,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Claw,Druid,,,+2 Attack this turn.,Enchantment,,,,
11,,,CS2_017o,Basic,,,1668,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Claws,Druid,,,Your hero has +1 Attack this turn.,Enchantment,,,,
12,,,EX1_019e,Basic,,,388,,,,,,,,,enUS,,Cleric's Blessing,Priest,,,+1/+1.,Enchantment,,,,
13,,,GAME_003,Basic,,,1736,,,,,,,,,enUS,,Coin's Vengeance,Neutral,,,Going second makes your first minion stronger.,Enchantment,,,,
14,,,GAME_003e,Basic,,,1734,,,,,,,,,enUS,,Coin's Vengence,Neutral,,,Going second makes your first minion stronger.,Enchantment,,,,
15,,,CS2_063e,Basic,,,917,,,,,,,,,enUS,,Corruption,Warlock,,,"At the start of the corrupting player's turn, destroy this minion.",Enchantment,,,,
16,,,GBL_003e,Basic,,,53191,,,,,,,,,enUS,,Cost - 1,Neutral,,,Costs (1) less.,Enchantment,,,,
17,,,GBL_002e,Basic,,,53190,,,,,,,,,enUS,,Cost - 2,Neutral,,,Costs (2) less.,Enchantment,,,,
18,,,GBL_004e,Basic,,,53192,,,,,,,,,enUS,,Cost - 3,Neutral,,,Costs (3) less.,Enchantment,,,,
19,,,GBL_008e,Basic,,,53197,,,,,,,,,enUS,,Cost - 4,Neutral,,,Costs (4) less.,Enchantment,,,,
20,,,GBL_005e,Basic,,,53194,,,,,,,,,enUS,,Cost + 2,Neutral,,,Costs (2) more.,Enchantment,,,,
21,,,GBL_009e,Basic,,,53198,,,,,,,,,enUS,,Cost = 0,Neutral,,,Costs (0).,Enchantment,,,,
22,,,GBL_001e,Basic,,,53189,,,,,,,,,enUS,,Cost = 1,Neutral,,,Costs (1).,Enchantment,,,,
23,,,GBL_007e,Basic,,,53196,,,,,,,,,enUS,,Cost = 10,Neutral,,,Costs (10).,Enchantment,,,,
24,,,GBL_006e,Basic,,,53195,,,,,,,,,enUS,,Cost = 2,Neutral,,,Costs (2).,Enchantment,,,,
25,,,BCON_001e,Basic,,,50134,,,,,,,,,enUS,,Deadeye,Neutral,,,Your Hero Power can target minions.,Enchantment,,,,
26,,,CS2_074e,Basic,,,1739,,,,,,,,,enUS,,Deadly Poison,Neutral,,,+2 Attack.,Enchantment,,,,
27,,,CS2_236e,Basic,,,1627,,,,,,,,,enUS,,Divine Spirit,Priest,,,This minion has double Health.,Enchantment,,,,
28,,,CS2_122e,Basic,,,1402,,,,,,,,,enUS,,Enhanced,Neutral,,,Raid Leader is granting this minion +1 Attack.,Enchantment,,,,
29,,,NEW1_033o,Basic,,,143,,,,,,,,,enUS,,Eye In The Sky,Hunter,,,Leokk is granting this minion +1 Attack.,Enchantment,,,,
30,,,EX1_565o,Basic,,,516,,,,,,,,,enUS,,Flametongue,Shaman,,,+2 Attack from Flametongue Totem.,Enchantment,,,,
31,,0.0,hexfrog,Basic,,,548,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/hexfrog.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/hexfrog_premium.gif,enUS,[{'name': 'Taunt'}],Frog,Neutral,Beast,Common,<b>Taunt</b>,Minion,,,,
32,,,CS2_226e,Basic,,,1811,,,,,,,,,enUS,,Frostwolf Banner,Neutral,,,Increased stats.,Enchantment,,,,
33,,,DS1_175o,Basic,,,1629,,,,,,,,,enUS,,Furious Howl,Hunter,,,+1 Attack from {0}.,Enchantment,,,,
34,,,HERO_01,Basic,True,,7,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_01.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_01_premium.gif,enUS,,Garrosh Hellscream,Warrior,,Free,,Hero,,,,
35,,,HERO_07,Basic,True,,893,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_07.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_07_premium.gif,enUS,,Gul'dan,Warlock,,Free,,Hero,,,,
36,,,CS2_105e,Basic,,,78,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Heroic Strike,Warrior,,,+4 Attack this turn.,Enchantment,,,,
37,,,EX1_246e,Basic,,,1635,,,,,,,,,enUS,[{'name': 'Morph'}],Hexxed,Shaman,,,This minion has been transformed!,Enchantment,,,,
38,,,EX1_360e,Basic,,,1088,,Neutral,,,,,,,enUS,,Humility,Paladin,,,Attack has been changed to 1.,Enchantment,,,,
39,,,CS2_084e,Basic,,,925,,,,,,,,,enUS,,Hunter's Mark,Hunter,,,This minion has 1 Health.,Enchantment,,,,
40,,,HERO_08,Basic,True,,637,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_08.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_08_premium.gif,enUS,,Jaina Proudmoore,Mage,,Free,,Hero,,,,
41,,,GAME_001,Basic,,,1732,,,,,,,,,enUS,,Luck of the Coin,Neutral,,,Going second grants you increased Health.,Enchantment,,,,
