player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games,date_published
Druid,"Token Druid",Druid,"Token Druid",50.00,6080,"05/10/2019 12:05 PM"
Druid,"Token Druid",Hunter,"Deathrattle Hunter",69.92,1097,"05/10/2019 12:05 PM"
Druid,"Token Druid",Hunter,"Mech Hunter",55.56,5497,"05/10/2019 12:05 PM"
Druid,"Token Druid",Hunter,"Midrange Hunter",52.67,2546,"05/10/2019 12:05 PM"
Druid,"Token Druid",Hunter,"Secret Hunter",62.02,516,"05/10/2019 12:05 PM"
Druid,"Token Druid",Hunter,"Spell Hunter",66.33,300,"05/10/2019 12:05 PM"
Druid,"Token Druid",Mage,"Burn Mage",55.80,1423,"05/10/2019 12:05 PM"
Druid,"Token Druid",Mage,"Khadgar Mage",53.39,5404,"05/10/2019 12:05 PM"
Druid,"Token Druid",Paladin,"Control Paladin",44.97,318,"05/10/2019 12:05 PM"
Druid,"Token Druid",Paladin,"Mech Paladin",48.53,1906,"05/10/2019 12:05 PM"
Druid,"Token Druid",Paladin,"Secret Paladin",58.93,375,"05/10/2019 12:05 PM"
Druid,"Token Druid",Priest,"Resurrect Priest",51.67,2508,"05/10/2019 12:05 PM"
Druid,"Token Druid",Priest,"Silence Priest",47.00,617,"05/10/2019 12:05 PM"
Druid,"Token Druid",Rogue,"Miracle Rogue",48.87,266,"05/10/2019 12:05 PM"
Druid,"Token Druid",Rogue,"Tempo Rogue",48.54,10369,"05/10/2019 12:05 PM"
Druid,"Token Druid",Rogue,"Thief Rogue",64.48,901,"05/10/2019 12:05 PM"
Druid,"Token Druid",Shaman,"Big Shaman",48.52,1587,"05/10/2019 12:05 PM"
Druid,"Token Druid",Shaman,"Murloc Shaman",51.59,2231,"05/10/2019 12:05 PM"
Druid,"Token Druid",Shaman,"Shudderwock Shaman",46.94,1178,"05/10/2019 12:05 PM"
Druid,"Token Druid",Warlock,Handlock,62.47,746,"05/10/2019 12:05 PM"
Druid,"Token Druid",Warlock,"Zoo Warlock",36.64,3223,"05/10/2019 12:05 PM"
Druid,"Token Druid",Warrior,"Big Warrior",58.12,234,"05/10/2019 12:05 PM"
Druid,"Token Druid",Warrior,"Bomb Warrior",54.33,4233,"05/10/2019 12:05 PM"
Druid,"Token Druid",Warrior,"Control Warrior",48.33,5448,"05/10/2019 12:05 PM"
Druid,"Token Druid",Warrior,"Dragon Warrior",60.79,227,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Druid,"Token Druid",30.08,1097,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Deathrattle Hunter",50.00,188,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Mech Hunter",40.20,1107,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Midrange Hunter",50.21,468,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Secret Hunter",38.60,114,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Mage,"Burn Mage",50.99,304,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Mage,"Khadgar Mage",56.38,1066,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Paladin,"Mech Paladin",49.86,369,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Priest,"Resurrect Priest",66.20,497,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Rogue,"Tempo Rogue",37.70,1960,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Rogue,"Thief Rogue",61.24,178,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Shaman,"Big Shaman",58.45,296,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Shaman,"Murloc Shaman",29.74,390,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Shaman,"Shudderwock Shaman",61.64,232,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Warlock,Handlock,76.00,150,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Warlock,"Zoo Warlock",40.41,584,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Warrior,"Bomb Warrior",63.44,733,"05/10/2019 12:05 PM"
Hunter,"Deathrattle Hunter",Warrior,"Control Warrior",72.39,1054,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Druid,"Token Druid",44.44,5497,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Hunter,"Deathrattle Hunter",59.80,1107,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Hunter,"Mech Hunter",50.00,6166,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Hunter,"Midrange Hunter",48.93,2610,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Hunter,"Secret Hunter",45.57,757,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Hunter,"Spell Hunter",74.91,287,"05/10/2019 12:05 PM"
Hunter,"Mech Hunter",Mage,"Burn Mage",57.46,1521,"05/10/2019 12:05 PM"
