attack,cardId,cardSet,cost,durability,faction,health,mechanics,name,playerClass,race,rarity,text,type,armor,attack_true,durability_true,health_true,armor_true
,CS2_041,Basic,0.0,,Neutral,,[{'name': 'Taunt'}],Ancestral Healing,Shaman,General,Free,Restore a minion\nto full Health and\ngive it <b>Taunt</b>.,Spell,,0,0,0,0
,CS2_072,Basic,0.0,,Neutral,,,Backstab,Rogue,General,Free,Deal $2 damage to an undamaged minion.,Spell,,0,0,0,0
,EX1_169,Basic,0.0,,Neutral,,,Innervate,Druid,General,Free,Gain 1 Mana Crystal this turn only.,Spell,,0,0,0,0
,CS2_008,Basic,0.0,,Neutral,,,Moonfire,Druid,General,Free,Deal $1 damage.,Spell,,0,0,0,0
,NEW1_003,Basic,0.0,,Neutral,,,Sacrificial Pact,Warlock,General,Free,Destroy a Demon. Restore #5 Health to your hero.,Spell,,0,0,0,0
,EX1_244,Basic,0.0,,Neutral,,,Totemic Might,Shaman,General,Free,Give your Totems +2_Health.,Spell,,0,0,0,0
,EX1_277,Basic,1.0,,Neutral,,[{'name': 'ImmuneToSpellpower'}],Arcane Missiles,Mage,General,Free,Deal $3 damage randomly split among all enemies.,Spell,,0,0,0,0
,DS1_185,Basic,1.0,,Neutral,,,Arcane Shot,Hunter,General,Free,Deal $2 damage.,Spell,,0,0,0,0
,CS2_087,Basic,1.0,,Neutral,,,Blessing of Might,Paladin,General,Free,Give a minion +3_Attack.,Spell,,0,0,0,0
,CS2_103,Basic,1.0,,Neutral,,[{'name': 'Charge'}],Charge,Warrior,General,Free,Give a friendly minion <b>Charge</b>. It can't attack heroes this turn.,Spell,,0,0,0,0
,CS2_005,Basic,1.0,,Neutral,,,Claw,Druid,General,Free,Give your hero +2_Attack this turn. Gain 2 Armor.,Spell,,0,0,0,0
,CS2_063,Basic,1.0,,Neutral,,,Corruption,Warlock,General,Free,"Choose an enemy minion. At the start of your turn, destroy it.",Spell,,0,0,0,0
,CS2_074,Basic,1.0,,Neutral,,,Deadly Poison,Rogue,General,Free,Give your weapon +2_Attack.,Spell,,0,0,0,0
1.0,CS2_189,Basic,1.0,,Horde,1.0,[{'name': 'Battlecry'}],Elven Archer,Neutral,General,Free,<b>Battlecry:</b> Deal 1 damage.,Minion,,1,0,1,0
,CS2_037,Basic,1.0,,Neutral,,[{'name': 'Freeze'}],Frost Shock,Shaman,General,Free,Deal $1 damage to an enemy character and <b>Freeze</b> it.,Spell,,0,0,0,0
1.0,CS1_042,Basic,1.0,,Alliance,2.0,[{'name': 'Taunt'}],Goldshire Footman,Neutral,General,Free,<b>Taunt</b>,Minion,,1,0,1,0
1.0,EX1_508,Basic,1.0,,Neutral,1.0,,Grimscale Oracle,Neutral,Murloc,Free,Your other Murlocs have +1 Attack.,Minion,,1,0,1,0
,EX1_371,Basic,1.0,,Neutral,,[{'name': 'Divine Shield'}],Hand of Protection,Paladin,General,Free,Give a minion <b>Divine Shield</b>.,Spell,,0,0,0,0
,CS1_130,Basic,1.0,,Neutral,,,Holy Smite,Priest,General,Free,Deal $2 damage.,Spell,,0,0,0,0
,EX1_360,Basic,1.0,,Neutral,,,Humility,Paladin,General,Free,Change a minion's Attack to 1.,Spell,,0,0,0,0
1.0,CS2_091,Basic,1.0,4.0,Neutral,,,Light's Justice,Paladin,General,Free, ,Weapon,,1,1,0,0
,CS2_003,Basic,1.0,,Neutral,,,Mind Vision,Priest,General,Free,Put a copy of a random card in your opponent's hand into your hand.,Spell,,0,0,0,0
,CS2_027,Basic,1.0,,Neutral,,[{'name': 'Taunt'}],Mirror Image,Mage,General,Free,Summon two 0/2 minions with <b>Taunt</b>.,Spell,,0,0,0,0
,EX1_302,Basic,1.0,,Neutral,,,Mortal Coil,Warlock,General,Free,"Deal $1 damage to a minion. If that kills it, draw a card.",Spell,,0,0,0,0
2.0,CS2_168,Basic,1.0,,Alliance,1.0,,Murloc Raider,Neutral,Murloc,Free, ,Minion,,1,0,1,0
1.0,CS2_235,Basic,1.0,,Neutral,3.0,,Northshire Cleric,Priest,General,Free,"Whenever a minion is healed, draw a card.",Minion,,1,0,1,0
,CS2_004,Basic,1.0,,Neutral,,,Power Word: Shield,Priest,General,Free,Give a minion +2_Health.\nDraw a card.,Spell,,0,0,0,0
,CS2_075,Basic,1.0,,Neutral,,,Sinister Strike,Rogue,General,Free,Deal $3 damage to the_enemy hero.,Spell,,0,0,0,0
,EX1_308,Basic,1.0,,Neutral,,,Soulfire,Warlock,General,Free,[x]Deal $4 damage.\nDiscard a random card.,Spell,,0,0,0,0
1.0,CS2_171,Basic,1.0,,Neutral,1.0,[{'name': 'Charge'}],Stonetusk Boar,Neutral,Beast,Free,<b>Charge</b>,Minion,,1,0,1,0
1.0,DS1_175,Basic,1.0,,Neutral,1.0,[{'name': 'Aura'}],Timber Wolf,Hunter,Beast,Free,Your other Beasts have +1_Attack.,Minion,,1,0,1,0
,DS1_184,Basic,1.0,,Neutral,,,Tracking,Hunter,General,Free,Look at the top 3 cards of your deck. Draw one and discard the_others.,Spell,,0,0,0,0
1.0,CS2_065,Basic,1.0,,Neutral,3.0,[{'name': 'Taunt'}],Voidwalker,Warlock,Demon,Free,<b>Taunt</b>,Minion,,1,0,1,0
2.0,EX1_011,Basic,1.0,,Horde,1.0,[{'name': 'Battlecry'}],Voodoo Doctor,Neutral,General,Free,<b>Battlecry:</b> Restore #2_Health.,Minion,,1,0,1,0
,EX1_400,Basic,1.0,,Neutral,,,Whirlwind,Warrior,General,Free,Deal $1 damage to ALL_minions.,Spell,,0,0,0,0
3.0,EX1_066,Basic,2.0,,Alliance,2.0,[{'name': 'Battlecry'}],Acidic Swamp Ooze,Neutral,General,Free,<b>Battlecry:</b> Destroy your opponent's weapon.,Minion,,1,0,1,0
,CS2_025,Basic,2.0,,Neutral,,,Arcane Explosion,Mage,General,Free,Deal $1 damage to all enemy minions.,Spell,,0,0,0,0
3.0,CS2_172,Basic,2.0,,Horde,2.0,,Bloodfen Raptor,Neutral,Beast,Free, ,Minion,,1,0,1,0
2.0,CS2_173,Basic,2.0,,Neutral,1.0,[{'name': 'Charge'}],Bluegill Warrior,Neutral,Murloc,Free,<b>Charge</b>,Minion,,1,0,1,0
,CS2_114,Basic,2.0,,Neutral,,,Cleave,Warrior,General,Free,[x]Deal $2 damage to\ntwo random enemy\nminions.,Spell,,0,0,0,0
,CS2_236,Basic,2.0,,Neutral,,,Divine Spirit,Priest,General,Free,Double a minion's Health.,Spell,,0,0,0,0
,CS2_108,Basic,2.0,,Neutral,,,Execute,Warrior,General,Free,Destroy a damaged enemy minion.,Spell,,0,0,0,0
,CS2_024,Basic,2.0,,Neutral,,[{'name': 'Freeze'}],Frostbolt,Mage,General,Free,Deal $3 damage to a_character and <b>Freeze</b> it.,Spell,,0,0,0,0
2.0,CS2_121,Basic,2.0,,Neutral,2.0,[{'name': 'Taunt'}],Frostwolf Grunt,Neutral,General,Free,<b>Taunt</b>,Minion,,1,0,1,0
,CS2_105,Basic,2.0,,Neutral,,,Heroic Strike,Warrior,General,Free,Give your hero +4_Attack this turn.,Spell,,0,0,0,0
,CS2_089,Basic,2.0,,Neutral,,,Holy Light,Paladin,General,Free,Restore #6 Health.,Spell,,0,0,0,0
,CS2_084,Basic,2.0,,Neutral,,,Hunter's Mark,Hunter,General,Free,Change a minion's Health to 1.,Spell,,0,0,0,0
2.0,CS2_142,Basic,2.0,,Horde,2.0,[{'name': 'Spell Damage'}],Kobold Geomancer,Neutral,General,Free,<b>Spell Damage +1</b>,Minion,,1,0,1,0
,CS2_009,Basic,2.0,,Neutral,,[{'name': 'Taunt'}],Mark of the Wild,Druid,General,Free,Give a minion <b>Taunt</b> and +2/+2.<i>\n(+2 Attack/+2 Health)</i>,Spell,,0,0,0,0
,DS1_233,Basic,2.0,,Neutral,,,Mind Blast,Priest,General,Free,Deal $5 damage to the enemy hero.,Spell,,0,0,0,0
2.0,EX1_506,Basic,2.0,,Neutral,1.0,[{'name': 'Battlecry'}],Murloc Tidehunter,Neutral,Murloc,Free,<b>Battlecry:</b> Summon a 1/1_Murloc Scout.,Minion,,1,0,1,0
1.0,EX1_015,Basic,2.0,,Alliance,1.0,[{'name': 'Battlecry'}],Novice Engineer,Neutral,General,Free,<b>Battlecry:</b> Draw a card.,Minion,,1,0,1,0
2.0,CS2_120,Basic,2.0,,Neutral,3.0,,River Crocolisk,Neutral,Beast,Free, ,Minion,,1,0,1,0
,CS2_045,Basic,2.0,,Neutral,,,Rockbiter Weapon,Shaman,General,Free,Give a friendly character +3 Attack this turn.,Spell,,0,0,0,0
,EX1_581,Basic,2.0,,Neutral,,,Sap,Rogue,General,Free,Return an enemy minion to your opponent's hand.,Spell,,0,0,0,0
,CS2_234,Basic,2.0,,Neutral,,,Shadow Word: Pain,Priest,General,Free,Destroy a minion with 3_or less Attack.,Spell,,0,0,0,0
