artist,attack,cardId,cardSet,collectible,cost,dbfId,durability,faction,flavor,health,howToGet,howToGetGold,img,imgGold,locale,mechanics,name,playerClass,race,rarity,text,type,elite,classes,multiClassGroup,armor
,,HERO_09,Basic,True,,813,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_09.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_09_premium.gif,enUS,,Anduin Wrynn,Priest,,Free,,Hero,,,,
,,HERO_01,Basic,True,,7,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_01.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_01_premium.gif,enUS,,Garrosh Hellscream,Warrior,,Free,,Hero,,,,
,,HERO_07,Basic,True,,893,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_07.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_07_premium.gif,enUS,,Gul'dan,Warlock,,Free,,Hero,,,,
,,HERO_08,Basic,True,,637,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_08.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_08_premium.gif,enUS,,Jaina Proudmoore,Mage,,Free,,Hero,,,,
,,HERO_06,Basic,True,,274,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_06.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_06_premium.gif,enUS,,Malfurion Stormrage,Druid,,Free,,Hero,,,,
,,HERO_05,Basic,True,,31,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_05.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_05_premium.gif,enUS,,Rexxar,Hunter,,Free,,Hero,,,,
,,HERO_02,Basic,True,,1066,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_02.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_02_premium.gif,enUS,,Thrall,Shaman,,Free,,Hero,,,,
,,HERO_04,Basic,True,,671,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_04.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_04_premium.gif,enUS,,Uther Lightbringer,Paladin,,Free,,Hero,,,,
,,HERO_03,Basic,True,,930,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_03.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_03_premium.gif,enUS,,Valeera Sanguinar,Rogue,,Free,,Hero,,,,
Dan Scott,,CS2_041,Basic,True,0.0,149,,Neutral,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_041.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_041_premium.gif,enUS,[{'name': 'Taunt'}],Ancestral Healing,Shaman,,Free,Restore a minion\nto full Health and\ngive it <b>Taunt</b>.,Spell,,,,
Michael Sutfin,,CS2_072,Basic,True,0.0,180,,Neutral,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.",,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_072.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_072_premium.gif,enUS,,Backstab,Rogue,,Free,Deal $2 damage to an undamaged minion.,Spell,,,,
Doug Alexander,,EX1_169,Basic,True,0.0,254,,Neutral,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.",,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_169.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_169_premium.gif,enUS,,Innervate,Druid,,Free,Gain 1 Mana Crystal this turn only.,Spell,,,,
Richard Wright,,CS2_008,Basic,True,0.0,467,,Neutral,"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3",,Unlocked at Level 6.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_008.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_008_premium.gif,enUS,,Moonfire,Druid,,Free,Deal $1 damage.,Spell,,,,
Jim Nelson,,NEW1_003,Basic,True,0.0,163,,,This is the reason that Demons never really become friends with Warlocks.,,Unlocked at Level 8.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/NEW1_003.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/NEW1_003_premium.gif,enUS,,Sacrificial Pact,Warlock,,Free,Destroy a Demon. Restore #5 Health to your hero.,Spell,,,,
