player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games,date_published
Druid,"Token Druid",Druid,"Token Druid",50.00,12038,"05/02/2019 06:05 PM"
Druid,"Token Druid",Hunter,"Deathrattle Hunter",68.70,2316,"05/02/2019 06:05 PM"
Druid,"Token Druid",Hunter,"Midrange Hunter",51.07,3634,"05/02/2019 06:05 PM"
Druid,"Token Druid",Hunter,"Spell Hunter",57.36,5969,"05/02/2019 06:05 PM"
Druid,"Token Druid",Mage,"Burn Mage",55.37,1519,"05/02/2019 06:05 PM"
Druid,"Token Druid",Mage,"Khadgar Mage",55.74,7921,"05/02/2019 06:05 PM"
Druid,"Token Druid",Paladin,"Control Paladin",43.58,257,"05/02/2019 06:05 PM"
Druid,"Token Druid",Paladin,"Mech Paladin",47.77,2711,"05/02/2019 06:05 PM"
Druid,"Token Druid",Paladin,"Secret Paladin",57.14,812,"05/02/2019 06:05 PM"
Druid,"Token Druid",Priest,"Resurrect Priest",51.56,3551,"05/02/2019 06:05 PM"
Druid,"Token Druid",Priest,"Silence Priest",48.00,1000,"05/02/2019 06:05 PM"
Druid,"Token Druid",Rogue,"Miracle Rogue",42.18,211,"05/02/2019 06:05 PM"
Druid,"Token Druid",Rogue,"Tempo Rogue",48.80,14877,"05/02/2019 06:05 PM"
Druid,"Token Druid",Rogue,"Thief Rogue",60.32,1643,"05/02/2019 06:05 PM"
Druid,"Token Druid",Shaman,"Big Shaman",47.27,1942,"05/02/2019 06:05 PM"
Druid,"Token Druid",Shaman,"Murloc Shaman",51.91,3473,"05/02/2019 06:05 PM"
Druid,"Token Druid",Shaman,"Shudderwock Shaman",48.60,1745,"05/02/2019 06:05 PM"
Druid,"Token Druid",Warlock,Handlock,60.90,1202,"05/02/2019 06:05 PM"
Druid,"Token Druid",Warlock,"Zoo Warlock",35.50,5057,"05/02/2019 06:05 PM"
Druid,"Token Druid",Warrior,"Big Warrior",59.45,434,"05/02/2019 06:05 PM"
Druid,"Token Druid",Warrior,"Bomb Warrior",53.09,7864,"05/02/2019 06:05 PM"
Druid,"Token Druid",Warrior,"Control Warrior",49.97,6686,"05/02/2019 06:05 PM"
Druid,"Token Druid",Warrior,"Dragon Warrior",59.72,355,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Druid,"Token Druid",31.30,2316,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Deathrattle Hunter",50.00,408,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Midrange Hunter",46.97,726,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Hunter,"Spell Hunter",42.12,1237,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Mage,"Burn Mage",50.52,291,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Mage,"Khadgar Mage",58.32,1610,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Paladin,"Mech Paladin",46.84,538,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Paladin,"Secret Paladin",55.83,163,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Priest,"Resurrect Priest",65.77,777,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Priest,"Silence Priest",66.06,165,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Rogue,"Tempo Rogue",37.45,3025,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Rogue,"Thief Rogue",69.48,367,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Shaman,"Big Shaman",55.95,395,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Shaman,"Murloc Shaman",32.52,698,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Shaman,"Shudderwock Shaman",60.99,423,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Warlock,Handlock,74.90,255,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Warlock,"Zoo Warlock",37.60,984,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Warrior,"Bomb Warrior",64.11,1644,"05/02/2019 06:05 PM"
Hunter,"Deathrattle Hunter",Warrior,"Control Warrior",73.84,1315,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Druid,"Token Druid",48.93,3634,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Hunter,"Deathrattle Hunter",53.03,726,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Hunter,"Midrange Hunter",50.00,1268,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Hunter,"Spell Hunter",53.06,2094,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Mage,"Burn Mage",60.53,532,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Mage,"Khadgar Mage",60.25,2609,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Paladin,"Mech Paladin",48.17,818,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Paladin,"Secret Paladin",55.41,314,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Priest,"Resurrect Priest",64.09,1331,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Priest,"Silence Priest",61.40,342,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Rogue,"Miracle Rogue",55.08,118,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Rogue,"Tempo Rogue",35.19,4868,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Rogue,"Thief Rogue",55.18,589,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Shaman,"Big Shaman",58.94,643,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Shaman,"Murloc Shaman",55.62,1300,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Shaman,"Shudderwock Shaman",66.90,562,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Warlock,Handlock,73.76,404,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Warlock,"Zoo Warlock",56.32,1733,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Warrior,"Big Warrior",69.31,189,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Warrior,"Bomb Warrior",53.84,2747,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Warrior,"Control Warrior",55.47,2192,"05/02/2019 06:05 PM"
Hunter,"Midrange Hunter",Warrior,"Dragon Warrior",54.78,157,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Druid,"Token Druid",42.64,5969,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Hunter,"Deathrattle Hunter",57.88,1237,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Hunter,"Midrange Hunter",46.94,2094,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Hunter,"Spell Hunter",50.00,4862,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Mage,"Burn Mage",56.89,842,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Mage,"Khadgar Mage",69.00,4880,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Paladin,"Control Paladin",59.30,199,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Paladin,"Mech Paladin",52.92,1576,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Paladin,"Secret Paladin",60.06,328,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Priest,"Resurrect Priest",61.71,1828,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Priest,"Silence Priest",55.17,609,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Rogue,"Miracle Rogue",64.08,245,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Rogue,"Tempo Rogue",41.77,9488,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Rogue,"Thief Rogue",63.94,721,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Shaman,"Big Shaman",46.64,1636,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Shaman,"Murloc Shaman",39.39,1988,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Shaman,"Shudderwock Shaman",49.64,969,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Warlock,Handlock,76.32,646,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Warlock,"Zoo Warlock",43.82,2898,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Warrior,"Big Warrior",77.89,190,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Warrior,"Bomb Warrior",63.90,3995,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Warrior,"Control Warrior",62.45,4951,"05/02/2019 06:05 PM"
Hunter,"Spell Hunter",Warrior,"Dragon Warrior",59.26,216,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Druid,"Token Druid",44.63,1519,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Hunter,"Deathrattle Hunter",49.48,291,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Hunter,"Midrange Hunter",39.47,532,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Hunter,"Spell Hunter",43.11,842,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Mage,"Burn Mage",50.00,278,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Mage,"Khadgar Mage",53.33,1007,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Paladin,"Mech Paladin",42.81,285,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Paladin,"Secret Paladin",50.85,118,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Priest,"Resurrect Priest",55.48,575,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Priest,"Silence Priest",43.37,166,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Rogue,"Tempo Rogue",37.57,1983,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Rogue,"Thief Rogue",48.42,316,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Shaman,"Big Shaman",47.42,329,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Shaman,"Murloc Shaman",38.73,519,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Shaman,"Shudderwock Shaman",49.16,238,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Warlock,Handlock,58.69,213,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Warlock,"Zoo Warlock",45.39,727,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Warrior,"Bomb Warrior",31.83,1062,"05/02/2019 06:05 PM"
Mage,"Burn Mage",Warrior,"Control Warrior",35.82,899,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Druid,"Token Druid",44.26,7921,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Hunter,"Deathrattle Hunter",41.68,1610,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Hunter,"Midrange Hunter",39.75,2609,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Hunter,"Spell Hunter",31.00,4880,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Mage,"Burn Mage",46.67,1007,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Mage,"Khadgar Mage",50.00,5944,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Paladin,"Control Paladin",60.78,204,"05/02/2019 06:05 PM"
Mage,"Khadgar Mage",Paladin,"Mech Paladin",57.95,1957,"05/02/2019 06:05 PM"
